Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Age 60+ Male,-0.02016004,0.04585689,0.980041815,0.895798711,1.072207,-0.002487468,0.348033758,0.999751284,0.933827672,1.070329,0.013698689,0.006441176,1.191655145,1.01384192,1.400654,-0.004030543,0.005555165,0.974141675,0.907582025,1.045583
All: LAG 5,-0.007309427,0.014966995,0.992717222,0.964018554,1.022270,-0.17813842,0.10686796,0.982343887,0.961981593,1.003137,-2.10723E-06,0.002065068,0.999973028,0.949485141,1.053146,-0.002076535,0.001855016,0.986593205,0.963550498,1.010187
Female,0.001897249,0.019444113,1.00189905,0.964434642,1.040819,-0.1901825,0.1382961,0.981161456,0.954923272,1.008121,0.003027898,0.002703249,1.039517948,0.971356222,1.112463,-0.00062266,0.002381212,0.995960891,0.966200477,1.026638
Male,-0.01622727,0.02129975,0.983903683,0.943673747,1.025849,-0.1567622,0.1533034,0.984446012,0.95530589,1.014475,-0.003148848,0.002913743,0.960496199,0.892788794,1.033338,-0.00365235,0.002675389,0.976539308,0.943815355,1.010398
Warm All,0.003605211,0.013854671,1.003611718,0.976725192,1.031238,-0.04551575,0.13245191,0.995458768,0.969948648,1.021640,-3.07262E-05,0.001955127,0.999606782,0.951758911,1.049860,0.0003083,0.001919,1.002005959,0.977805885,1.026805
Warm Female,0.02652963,0.01817851,1.026884673,0.990941032,1.064132,0.03239818,0.17383292,1.003245072,0.969639007,1.038016,0.003114817,0.002574486,1.040675121,0.975583967,1.110109,0.003469762,0.002504025,1.022809705,0.99069573,1.055965
Warm Male,-0.01884549,0.01937362,0.981330976,0.944766204,1.019311,-0.1122556,0.1857439,0.988837211,0.953485211,1.025500,-0.003415152,0.002730457,0.957227738,0.893851477,1.025098,-0.002837042,0.0026983,0.981728218,0.948553473,1.016063
Cold All,-0.03062764,0.01669988,0.969836634,0.938606074,1.002106,-0.22664143,0.0898986,0.977590759,0.960516356,0.994969,-0.001252722,0.002224313,0.984093032,0.930681276,1.040570,-0.004231179,0.001808886,0.972872091,0.950708416,0.995552
Cold Female,-0.03744581,0.02148006,0.963246615,0.923534864,1.004666,-0.310254198,0.11644041,0.96945093,0.947576373,0.991830,0.001988675,0.002929518,1.025781786,0.953094988,1.104012,-0.005191742,0.002303606,0.966816733,0.93885497,0.995611
Cold Male,-0.02272693,0.02428256,0.977529381,0.932094805,1.025179,-0.1234569,0.1301223,0.987730205,0.962857685,1.013245,-0.004619435,0.003139509,0.942585387,0.871192105,1.019829,-0.003103934,0.002666381,0.980026594,0.947294488,1.013890
Age 0-10 All,0.009888627,0.027181914,1.009937681,0.957539865,1.065203,-0.2923396,0.1872799,0.971189218,0.936186266,1.007501,-0.00306174,0.003685014,0.961567732,0.876656619,1.054703,-0.002064791,0.003387505,0.98666852,0.944992815,1.030182
Age 0-10 Female,0.04761266,0.03717866,1.048764348,0.975058789,1.128041,-0.225784,0.2523567,0.977674585,0.930493384,1.027248,0.00355591,0.005049168,1.046567381,0.922048108,1.187903,0.003657145,0.004546363,1.024056235,0.966427282,1.085122
Age 0-10 Male,-0.01769738,0.03436573,0.982458299,0.918462492,1.050913,-0.3318182,0.2410672,0.967362658,0.922718577,1.014167,-0.00852845,0.004664406,0.896583222,0.797570715,1.007887,-0.006611152,0.004344956,0.957937744,0.906352272,1.012459
Age 11-60 All,0.01184951,0.01996337,1.011919994,0.973090008,1.052299,0.01555487,0.14364403,1.001556697,0.973751888,1.030155,-0.00172052,0.002745044,0.978218072,0.913117856,1.047960,0.001260764,0.002468745,1.008228637,0.977011511,1.040443
Age 11-60 Female,0.02259965,0.02588922,1.022856957,0.97224911,1.076099,-0.02876871,0.18782585,0.997127263,0.961086621,1.034519,0.001063642,0.003620474,1.013707719,0.925690037,1.110094,0.001394089,0.003167825,1.009102759,0.969188155,1.050661
