Strata,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Warm Male,0.012213215,0.007206943,1.012288101,0.998089434,1.026689,0.0475849,0.08278848,1.00476983,0.988597455,1.021207,0.001023324,0.000820368,1.013184709,0.992545082,1.034254,0.001025018,0.001023724,1.006684862,0.99364068,1.019900
Cold All,0.011802972,0.008029258,1.011872902,0.996073356,1.027923,0.0750691,0.0577141,1.007535157,0.996202176,1.018997,0.000888211,0.000941776,1.011433975,0.98781665,1.035616,0.00105706,0.000883028,1.006894549,0.995630687,1.018286
Cold Female,0.023068766,0.009095928,1.023336908,1.005254504,1.041745,0.13504311,0.06579888,1.013595906,1.000607915,1.026752,0.000380921,0.001071489,1.004887695,0.978234632,1.032267,0.002000222,0.00100066,1.013086329,1.000253067,1.026084
Cold Male,-0.000589455,0.009516851,0.999410719,0.980941472,1.018228,0.01096132,0.067976,1.001096733,0.987847284,1.014524,0.00143514,0.001112008,1.018539555,0.990516985,1.047355,2.76273E-05,0.001046653,1.000179594,0.986931364,1.013606
Age 0-10 All,0.013188841,0.007827898,1.013276197,0.997848479,1.028942,0.03741185,0.06631201,1.003748192,0.990786736,1.016879,0.001189835,0.000906801,1.015346454,0.992508268,1.038710,0.001098805,0.000963742,1.007167799,0.994877325,1.019610
Age 0-10 Female,0.01999401,0.01044002,1.020195229,0.99953168,1.041286,0.12710379,0.08811743,1.012791499,0.995449747,1.030435,-0.000055359,0.001215206,0.999291656,0.969285881,1.030226,0.001705458,0.0012842,1.011147149,0.994738659,1.027826
Age 0-10 Male,0.007482369,0.009527957,1.007510432,0.988869975,1.026502,-0.03785163,0.08093195,0.996221992,0.980543935,1.012151,0.002200472,0.001099199,1.028566455,1.000589511,1.057326,0.000586871,0.001173772,1.003821947,0.988922617,1.018946
Age 11-60 All,0.008787362,0.005581091,1.008826084,0.997850737,1.019922,0.09812039,0.04895093,1.009860335,1.00021768,1.019596,-0.000229887,0.000639898,0.997061771,0.981182978,1.013198,0.00121385,0.000692309,1.007921233,0.999070441,1.016850
Age 11-60 Female,0.015851413,0.006909069,1.015977713,1.002312307,1.029829,0.171889389,0.060614401,1.017337519,1.005322631,1.029496,-0.000676092,0.000792857,0.99138336,0.97185839,1.011301,0.002141389,0.000856237,1.014016349,1.003015105,1.025138
Age 11-60 Male,0.000606283,0.007266949,1.000606467,0.986455625,1.014960,0.01347324,0.06372553,1.001348232,0.988918972,1.013934,0.000276952,0.000832353,1.003551276,0.982812336,1.024728,0.000141529,0.000902446,1.000920362,0.989478519,1.012495
